High Tier,Mid Tier,Low Tier
Sign a maximum of 2 players per transfer window.,You must sign at least 2 players under 23 every season.,You cannot sign players above 82 overall.
At least 5 players in the starting XI must be from the club’s nation.,You must sell any player if an offer arrives from a bigger club.,At least 5 academy players must be in the senior squad.
At least 2 academy players must play 15+ matches every season.,At least 4 academy players must be in the first-team squad.,You must sign at least 1 free agent every season.
You must keep at least 1 player aged 30+ in the starting XI.,You cannot sign players above 84 overall.,You cannot spend more than 50% of your transfer budget.
Every squad player must play at least 10 matches per season.,You must maintain a positive net spend every season.,At least 1 local nationality player must start every match.
You cannot sign players with an overall higher than your current best player.,At least 1 free transfer must be signed every year.,You must keep a positive transfer balance every season.
At least 3 bench players must be academy graduates.,You must use at least 1 loan player every season.,At least 2 youth players must debut every year.
You must maintain a positive transfer budget every season.,At least 50% of signings must come from smaller clubs.,You cannot sign players older than 29.
At least 1 new signing every season must be under 21.,You must score at least 5 goals from outside the box every season.,At least 1 player must stay at the club for 10 seasons.
You must sell at least 1 player every season.,At least 1 player over 30 must play 20+ matches.,You cannot use financial takeovers.
At least half of your signings must come from the same league.,You cannot sign more than 3 players in January.,At least 3 players under 21 must get regular game time.
Your captain must stay at the club for at least 3 seasons.,At least 1 academy player must be sold for profit.,You must avoid relegation for 3 straight seasons.
You cannot have more than 25 senior players.,You must keep wage growth under control and avoid doubling any player salary.,You cannot sign more than 2 foreign players per season.
At least 1 academy player must become a starter within 3 seasons.,At least 2 players from the same nationality must be signed within 3 seasons.,At least 1 defender and 1 midfielder from the academy must become starters.
You must score at least 10 goals from set pieces each season.,You must reach a domestic cup quarter-final within 2 seasons.,You must keep squad size below 21 senior players.
You must keep at least 40% possession on average.,You cannot have more than 22 senior players.,You cannot break the club transfer record.
You must use the same main formation for an entire season.,At least 3 players must score 8+ goals every season.,At least 1 player signed for under €1M must become important.
At least 1 player from every transfer window must be signed permanently.,You must use squad rotation and give every outfield player at least 5 appearances.,You must score at least 1 goal from a corner every month.
You cannot sign more than 1 player from a direct rival per season.,At least 1 defender must score 5 goals in a season.,You cannot sell more than 2 starters per season.
At least 3 clean sheets must come from academy goalkeepers each season.,You must keep at least 1 clean sheet every month.,At least 1 goalkeeper from the academy must play cup matches.
You must rotate the squad and avoid using the same XI for more than 5 consecutive matches.,You cannot buy players from clubs playing in European competitions.,You must use at least 18 different players every season.
At least 1 player must reach 20 goals every season.,At least 1 academy midfielder must become captain.,You cannot sign players from clubs in continental competitions.
You must keep at least 6 players at the club for 5+ seasons.,You must loan out at least 2 young players every season.,At least 2 players must reach double digits in goals every season.
You cannot spend more money than you earned from sales in the previous season.,You cannot sign players older than 31.,You must keep at least 3 clean sheets against stronger teams each season.
At least 2 players in the squad must be 21 or younger at every position group.,At least 1 substitute must score 5+ goals in a season.,You cannot make more than 5 signings in a single season.
You must reach at least the domestic cup semi-final every season.,You must improve the club position in the league every 2 seasons.,At least 1 substitute must score 3+ goals every season.
You cannot renew contracts earlier than 1 year before expiry.,At least 1 player signed for under €5M must become a starter.,You must finish every season with a positive wage budget.
At least 1 academy defender must become a regular starter.,You cannot release players unless contracts expire.,You cannot terminate contracts manually.
You must finish every season with at least 3 different goal scorers above 10 goals.,You must keep at least 60% of the squad for 3 consecutive seasons.,At least 1 academy player must be sold for profit.
You must keep at least 1 original club player in the starting XI for 5 seasons.,You must qualify for European football within 5 seasons.,You must reach the top division within 10 seasons.
